epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,14864.9,1.17056,0.72022,0.89835,0.56439,0.45462,0.45497,0.27041,1.29484,0.92891,0.95318,0.0105808,0.00352692,0.0105808,0.00352692,0.0105808,0.00352692,0.0105808,0.00352692
87,15036.8,1.16479,0.71522,0.89545,0.55442,0.45985,0.45323,0.2695,1.29466,0.93086,0.95445,0.0103523,0.00345077,0.0103523,0.00345077,0.0103523,0.00345077,0.0103523,0.00345077
88,15207.8,1.15927,0.71005,0.89454,0.56483,0.45483,0.45243,0.2691,1.2944,0.93206,0.95281,0.0101238,0.00337462,0.0101238,0.00337462,0.0101238,0.00337462,0.0101238,0.00337462
89,15379.2,1.16491,0.71226,0.89629,0.56161,0.45432,0.45129,0.26788,1.29665,0.93363,0.95298,0.00989538,0.00329846,0.00989538,0.00329846,0.00989538,0.00329846,0.00989538,0.00329846
90,15553.3,1.16185,0.71145,0.89656,0.55885,0.46011,0.45199,0.26847,1.29735,0.93426,0.95373,0.00966692,0.00322231,0.00966692,0.00322231,0.00966692,0.00322231,0.00966692,0.00322231
91,15725.9,1.15743,0.70636,0.89516,0.57035,0.45003,0.45075,0.26721,1.29825,0.93551,0.95393,0.00943846,0.00314615,0.00943846,0.00314615,0.00943846,0.00314615,0.00943846,0.00314615
92,15897.7,1.15716,0.70306,0.89271,0.56394,0.45509,0.45061,0.26737,1.29828,0.93737,0.95386,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
93,16075.1,1.15285,0.70201,0.8937,0.55563,0.46338,0.45075,0.26763,1.30105,0.93825,0.9557,0.00898154,0.00299385,0.00898154,0.00299385,0.00898154,0.00299385,0.00898154,0.00299385
94,16297.5,1.1571,0.70033,0.89418,0.56334,0.45628,0.451,0.26735,1.30231,0.93879,0.95477,0.00875308,0.00291769,0.00875308,0.00291769,0.00875308,0.00291769,0.00875308,0.00291769
95,16509.7,1.14928,0.69677,0.8933,0.55997,0.45833,0.45079,0.26695,1.30019,0.93922,0.9545,0.00852462,0.00284154,0.00852462,0.00284154,0.00852462,0.00284154,0.00852462,0.00284154
96,16694.9,1.1501,0.69687,0.8931,0.56913,0.45698,0.45288,0.26871,1.29703,0.93835,0.95398,0.00829615,0.00276538,0.00829615,0.00276538,0.00829615,0.00276538,0.00829615,0.00276538
97,16866.3,1.14312,0.69184,0.89207,0.56132,0.46095,0.45269,0.26861,1.29848,0.93781,0.95364,0.00806769,0.00268923,0.00806769,0.00268923,0.00806769,0.00268923,0.00806769,0.00268923
98,17036.9,1.14762,0.69099,0.89054,0.56884,0.45345,0.45107,0.26779,1.29811,0.93919,0.95378,0.00783923,0.00261308,0.00783923,0.00261308,0.00783923,0.00261308,0.00783923,0.00261308
