epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
92,24899.3,0.59653,0.57995,0.55202,0.57711,0.46176,0.45547,0.26904,0.67109,0.73112,0.60187,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
93,25167.9,0.59431,0.5798,0.5515,0.58432,0.46164,0.456,0.26947,0.66963,0.73144,0.60104,0.00898154,0.00299385,0.00898154,0.00299385,0.00898154,0.00299385,0.00898154,0.00299385
94,25437.7,0.59569,0.57845,0.55198,0.5856,0.46336,0.45768,0.27057,0.66987,0.73007,0.60083,0.00875308,0.00291769,0.00875308,0.00291769,0.00875308,0.00291769,0.00875308,0.00291769
95,25706.3,0.59211,0.57772,0.55134,0.58559,0.46138,0.4575,0.27065,0.66981,0.7296,0.60073,0.00852462,0.00284154,0.00852462,0.00284154,0.00852462,0.00284154,0.00852462,0.00284154
96,25975.9,0.59274,0.57761,0.55194,0.58463,0.46107,0.45697,0.27063,0.67031,0.7293,0.6011,0.00829615,0.00276538,0.00829615,0.00276538,0.00829615,0.00276538,0.00829615,0.00276538
97,26244.9,0.58942,0.57427,0.55124,0.58625,0.46092,0.45696,0.27051,0.67037,0.72921,0.60087,0.00806769,0.00268923,0.00806769,0.00268923,0.00806769,0.00268923,0.00806769,0.00268923
98,26513.4,0.59149,0.57254,0.55029,0.58668,0.46196,0.45866,0.27088,0.67071,0.72969,0.60112,0.00783923,0.00261308,0.00783923,0.00261308,0.00783923,0.00261308,0.00783923,0.00261308
99,26781.8,0.58802,0.57226,0.55026,0.58309,0.46573,0.4579,0.27088,0.67131,0.73065,0.60121,0.00761077,0.00253692,0.00761077,0.00253692,0.00761077,0.00253692,0.00761077,0.00253692
100,27051,0.58615,0.56938,0.54933,0.58125,0.46515,0.45711,0.2705,0.67168,0.731,0.60136,0.00738231,0.00246077,0.00738231,0.00246077,0.00738231,0.00246077,0.00738231,0.00246077
101,27320,0.58657,0.56798,0.55023,0.58514,0.46203,0.45699,0.27038,0.67233,0.73138,0.60116,0.00715385,0.00238462,0.00715385,0.00238462,0.00715385,0.00238462,0.00715385,0.00238462
102,27591.9,0.58687,0.56725,0.54957,0.59155,0.45897,0.45745,0.27091,0.67274,0.73067,0.6013,0.00692538,0.00230846,0.00692538,0.00230846,0.00692538,0.00230846,0.00692538,0.00230846
103,27861,0.58157,0.56492,0.5486,0.58853,0.45898,0.45701,0.27122,0.67201,0.72956,0.60108,0.00669692,0.00223231,0.00669692,0.00223231,0.00669692,0.00223231,0.00669692,0.00223231
104,28131.7,0.58561,0.56725,0.54977,0.58848,0.4586,0.45678,0.27076,0.67227,0.72993,0.60119,0.00646846,0.00215615,0.00646846,0.00215615,0.00646846,0.00215615,0.00646846,0.00215615
105,28399.2,0.5822,0.56381,0.54886,0.58687,0.45898,0.45622,0.27022,0.67271,0.73114,0.60116,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
106,28669.8,0.5831,0.56383,0.54921,0.58301,0.45857,0.4556,0.26984,0.67264,0.73223,0.60102,0.00601154,0.00200385,0.00601154,0.00200385,0.00601154,0.00200385,0.00601154,0.00200385
107,28942.3,0.58151,0.56035,0.54877,0.5801,0.45937,0.45599,0.26962,0.67249,0.73228,0.60111,0.00578308,0.00192769,0.00578308,0.00192769,0.00578308,0.00192769,0.00578308,0.00192769
108,29213.3,0.58062,0.56064,0.54826,0.57498,0.46141,0.45645,0.27005,0.67227,0.73213,0.60097,0.00555462,0.00185154,0.00555462,0.00185154,0.00555462,0.00185154,0.00555462,0.00185154
109,29483.4,0.57967,0.55974,0.54809,0.57858,0.45992,0.45636,0.26983,0.67264,0.73229,0.60102,0.00532615,0.00177538,0.00532615,0.00177538,0.00532615,0.00177538,0.00532615,0.00177538
110,29753.2,0.5784,0.55831,0.54666,0.57745,0.45912,0.45584,0.26956,0.67252,0.7323,0.601,0.00509769,0.00169923,0.00509769,0.00169923,0.00509769,0.00169923,0.00509769,0.00169923
111,30022.5,0.57675,0.5576,0.54643,0.57753,0.45873,0.45525,0.2689,0.67283,0.73212,0.60107,0.00486923,0.00162308,0.00486923,0.00162308,0.00486923,0.00162308,0.00486923,0.00162308
112,30291.6,0.5745,0.55579,0.54692,0.58272,0.45585,0.45601,0.2694,0.67303,0.73207,0.60109,0.00464077,0.00154692,0.00464077,0.00154692,0.00464077,0.00154692,0.00464077,0.00154692
113,30563.5,0.57569,0.55429,0.54611,0.5828,0.45631,0.45469,0.26912,0.67312,0.73173,0.60107,0.00441231,0.00147077,0.00441231,0.00147077,0.00441231,0.00147077,0.00441231,0.00147077
114,30836.6,0.5753,0.55372,0.54621,0.57965,0.45953,0.45397,0.26876,0.67339,0.73206,0.6011,0.00418385,0.00139462,0.00418385,0.00139462,0.00418385,0.00139462,0.00418385,0.00139462
115,31129.6,0.5712,0.55142,0.54505,0.57281,0.46264,0.45446,0.2688,0.6736,0.73237,0.6011,0.00395538,0.00131846,0.00395538,0.00131846,0.00395538,0.00131846,0.00395538,0.00131846
116,31417.3,0.57288,0.55164,0.54519,0.58132,0.4583,0.45516,0.26893,0.67347,0.73204,0.60093,0.00372692,0.00124231,0.00372692,0.00124231,0.00372692,0.00124231,0.00372692,0.00124231
117,31685.5,0.5707,0.55016,0.54581,0.58595,0.45608,0.45494,0.26897,0.67348,0.73194,0.6009,0.00349846,0.00116615,0.00349846,0.00116615,0.00349846,0.00116615,0.00349846,0.00116615
